"Path","Kind","Name","Line"
"backend\app\core\relationship_engine.py","def","get_relationship_prompt","180"
"backend\app\core\safe_ui.py","def","safe_multiselect","8"
"backend\app\core\safe_ui.py","def","safe_selectbox","13"
"backend\app\core\safe_ui.py","def","safe_slider","20"
"backend\app\core\safety.py","class","SafetyMonitor","20"
"backend\app\core\security.py","def","_hash_pw","17"
"backend\app\core\security.py","def","_check_pw","23"
"backend\app\core\security.py","def","register_user","32"
"backend\app\core\security.py","def","verify_user","51"
"backend\app\core\security.py","def","reset_password","61"
"backend\app\core\security.py","def","user_exists","78"
"backend\app\core\security.py","def","list_users","85"
"backend\app\core\security.py","def","delete_user","92"
"backend\app\core\simulation_engine.py","def","get_npc_current_goal","20"
"backend\app\core\simulation_engine.py","def","update_npc_schedule_from_goals","33"
"backend\app\core\simulation_engine.py","def","adjust_npc_goals","53"
"backend\app\core\simulation_engine.py","def","add_npc_memory","77"
"backend\app\core\simulation_engine.py","def","get_npc_memories","90"
"backend\app\core\simulation_engine.py","def","build_npc_prompt_context","97"
"backend\app\core\simulation_engine.py","def","resolve_faction_war","113"
"backend\app\core\simulation_engine.py","def","check_war_triggers","159"
"backend\app\core\simulation_engine.py","def","init_market","181"
"backend\app\core\simulation_engine.py","def","tick_economy","190"
"backend\app\core\simulation_engine.py","def","get_market","226"
"backend\app\core\simulation_engine.py","def","get_weather_effects","247"
"backend\app\core\simulation_engine.py","def","log_weather","250"
"backend\app\core\simulation_engine.py","def","create_quest_chain","264"
"backend\app\core\simulation_engine.py","def","get_available_quests","282"
"backend\app\core\simulation_engine.py","def","complete_chain_quest","303"
"backend\app\core\simulation_engine.py","def","get_director_state","317"
"backend\app\core\simulation_engine.py","def","update_director","325"
"backend\app\core\simulation_engine.py","def","generate_scaled_encounter","351"
"backend\app\core\simulation_engine.py","def","run_world_simulation_tick","378"
"backend\app\core\storage.py","def","get_conn","19"
"backend\app\core\storage.py","def","now_iso","28"
"backend\app\core\storage.py","def","save_json","30"
"backend\app\core\storage.py","def","load_json","34"
"backend\app\core\storage.py","def","get_bool_setting","44"
"backend\app\core\storage.py","def","set_bool_setting","57"
"backend\app\core\storage.py","def","get_setting","68"
"backend\app\core\storage.py","def","set_setting","81"
"backend\app\core\storage.py","def","_create_tables","189"
"backend\app\core\storage.py","def","_is_duplicate_column_error","201"
"backend\app\core\storage.py","def","_run_migrations","205"
"backend\app\core\storage.py","def","_record_schema_version","219"
"backend\app\core\storage.py","def","get_schema_version","232"
"backend\app\core\storage.py","def","init_db","249"
"backend\app\core\storage.py","def","delete_character","281"
"backend\app\core\storage.py","def","delete_world","305"
"backend\app\core\voice_system.py","class","VoiceSystem","15"
"backend\app\core\web_search.py","def","_local_only_blocked","28"
"backend\app\core\web_search.py","def","_error_detail","39"
"backend\app\core\web_search.py","def","search_web","52"
"backend\app\core\world_engine.py","def","_rn","30"
"backend\app\core\world_engine.py","def","create_world","33"
"backend\app\core\world_engine.py","def","get_world","61"
"backend\app\core\world_engine.py","def","list_worlds","72"
"backend\app\core\world_engine.py","def","get_locations","77"
"backend\app\core\world_engine.py","def","advance_world_tick","82"
"backend\app\core\world_engine.py","def","generate_npc","131"
"backend\app\core\world_engine.py","def","list_npcs","150"
"backend\app\core\world_engine.py","def","get_npc_schedule","156"
"backend\app\core\world_engine.py","def","create_faction","161"
"backend\app\core\world_engine.py","def","list_factions","168"
"backend\app\core\world_engine.py","def","set_diplomacy","173"
"backend\app\core\world_engine.py","def","get_diplomacy","179"
"backend\app\core\world_engine.py","def","generate_dungeon","184"
"backend\app\core\world_engine.py","def","list_dungeons","199"
"backend\app\core\world_engine.py","def","simulate_combat","206"
"backend\app\core\world_engine.py","def","ensure_economy","220"
"backend\app\core\world_engine.py","def","earn_currency","227"
"backend\app\core\world_engine.py","def","spend_currency","233"
"backend\app\core\world_engine.py","def","get_economy","241"
"backend\app\core\world_engine.py","def","add_campaign_event","247"
"backend\app\core\world_engine.py","def","get_timeline","252"
"backend\app\core\world_engine.py","def","get_resources","257"
"backend\app\core\world_engine.py","def","get_laws","262"
"backend\app\core\world_engine.py","def","add_law","266"
"backend\app\core\world_engine.py","def","get_random_events","271"
"backend\app\core\world_engine.py","def","get_weather_log","276"
"backend\app\core\world_engine.py","def","save_campaign","281"
"backend\app\core\world_engine.py","def","list_campaign_saves","294"
"backend\app\domain\characters\catalog.py","def","height_range_str","35"
"backend\app\domain\characters\catalog.py","def","random_height","39"
"backend\app\domain\characters\catalog.py","def","get_measurement_range","126"
"backend\app\domain\characters\catalog.py","def","random_measurements","131"
"backend\app\domain\characters\catalog.py","def","random_backstory","442"
"backend\app\domain\characters\catalog.py","def","random_scenario","446"
"backend\app\domain\characters\catalog.py","def","random_goals","449"
"backend\app\domain\characters\catalog.py","def","_build_all","474"
"backend\app\domain\characters\catalog.py","def","get_library","486"
"backend\app\domain\characters\catalog.py","def","_build_lib","491"
"backend\app\domain\characters\catalog.py","def","generate_character_options_doc","598"
"backend\app\main.py","class","ScenarioTemplateIn","72"
"backend\app\main.py","class","CharacterIn","77"
"backend\app\main.py","class","ChatMessageIn","91"
"backend\app\main.py","class","WorldIn","97"
"backend\app\main.py","class","SettingIn","105"
"backend\app\main.py","class","MediaJobIn","110"
"backend\app\main.py","class","ChatImportUrlIn","116"
"backend\app\main.py","class","ChatImportLoadIn","120"
"backend\app\main.py","class","CharacterInferIn","125"
"backend\app\main.py","def","startup","132"
"backend\app\main.py","def","health","137"
"backend\app\main.py","def","options","142"
"backend\app\main.py","def","random_prompts","164"
"backend\app\main.py","def","list_characters","173"
"backend\app\main.py","def","create_character","183"
"backend\app\main.py","def","scenario_templates","214"
"backend\app\main.py","def","create_scenario_template","219"
"backend\app\main.py","def","render_scenario_template","225"
"backend\app\main.py","def","remove_scenario_template","231"
"backend\app\main.py","def","remove_character","237"
"backend\app\main.py","def","chat_history","242"
"backend\app\main.py","def","create_chat_message","247"
"backend\app\main.py","def","remove_chat_message","253"
"backend\app\main.py","def","remove_chat_session","259"
"backend\app\main.py","def","chat_search","265"
"backend\app\main.py","def","chat_suggestions","270"
"backend\app\main.py","def","chat_export","275"
"backend\app\main.py","def","import_chat_link","299"
"backend\app\main.py","def","load_imported_chat","305"
"backend\app\main.py","def","infer_imported_characters","318"
"backend\app\main.py","def","knowledge_documents","328"
"backend\app\main.py","def","knowledge_search","333"
"backend\app\main.py","def","knowledge_index","338"
"backend\app\main.py","def","remove_knowledge_document","344"
"backend\app\main.py","def","worlds","350"
"backend\app\main.py","def","create_new_world","355"
"backend\app\main.py","def","world_detail","360"
"backend\app\main.py","def","world_locations","368"
"backend\app\main.py","def","remove_world","373"
"backend\app\main.py","def","media_providers","378"
"backend\app\main.py","def","media_jobs","383"
"backend\app\main.py","def","create_media_job","388"
"backend\app\main.py","def","read_setting","393"
"backend\app\main.py","def","write_setting","398"
"backend\app\main.py","def","frontend","409"
"backend\app\map_engine\pathfinding.py","def","_build_adj","6"
"backend\app\map_engine\pathfinding.py","def","find_path","19"
"backend\app\map_engine\pathfinding.py","def","travel_cost","30"
"backend\app\map_engine\pathfinding.py","def","get_faction_territories","39"
"backend\app\services\scenario_template_service.py","def","save_scenario_template","16"
"backend\app\services\scenario_template_service.py","def","list_scenario_templates","40"
"backend\app\services\scenario_template_service.py","def","delete_scenario_template","52"
"backend\app\services\scenario_template_service.py","def","render_template_scenario","62"
"backend\app\story\narrative.py","def","get_story_state","41"
"backend\app\story\narrative.py","def","set_story_state","45"
"backend\app\story\narrative.py","def","advance_story","48"
"backend\app\story\narrative.py","def","get_character_arc","61"
"backend\app\story\narrative.py","def","start_character_arc","70"
"backend\app\story\narrative.py","def","advance_character_arc","77"
"backend\app\story\narrative.py","def","get_narrative_prompt","85"
"backend\app\world\prebuilt.py","def","get_prebuilt_list","42"
"backend\app\world\prebuilt.py","def","create_prebuilt_world","44"
"full_install.py","def","run","50"
"full_install.py","def","venv_python","55"
"full_install.py","def","ensure_venv","61"
"full_install.py","def","install_dependencies","67"
"full_install.py","def","selected_optional_groups","74"
"full_install.py","def","install_optional_dependencies","96"
